발생률순위,구·군,행정동,행정동코드,2026-07 인구,미래 발생률(/1만명),위험지수,위험등급,예상환자수(명),신뢰도,신뢰등급,주동인1,기여도1,주동인2,기여도2,최고 열지수 대체치(℃),폭염일수,강한폭염일수,열대야일수,최대연속폭염일,누적열부담,RDA 기후단위,대체처리,대체처리 요약,피해연속성(20),과거기후완전성(15),미래기후해상도(20),미래습도(10),모형성능(20),추정대체비율(15),자료완전성
1,군위군,부계면,2772033000,2106,1.5057691849520989,100.0,매우 높음,0.317114990350912,53,낮음,최고 열지수 대체치,0.3036217315196688,최대 연속 폭염일,0.030923713134818107,53.822693485808124,15.3,2.4,12.9,5.2,15.501939459999969,군위군,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,12,15,8,2,11,5,1
2,군위군,산성면,2772036000,1201,1.5057691849520989,100.0,매우 높음,0.18084287911274707,53,낮음,최고 열지수 대체치,0.3036217315196688,최대 연속 폭염일,0.030923713134818107,53.822693485808124,15.3,2.4,12.9,5.2,15.501939459999969,군위군,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,12,15,8,2,11,5,1
3,군위군,우보면,2772034000,1937,1.3983076826394552,100.0,매우 높음,0.27085219812726247,53,낮음,최고 열지수 대체치,0.25063085667798685,최대 연속 폭염일,0.009873441309696956,53.45201110225456,13.0,1.9,10.2,4.3,12.783906459999969,군위군,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,12,15,8,2,11,5,1
4,군위군,의흥면,2772035000,2217,1.3983076826394552,100.0,매우 높음,0.31000481324116724,53,낮음,최고 열지수 대체치,0.25063085667798685,최대 연속 폭염일,0.009873441309696956,53.45201110225456,13.0,1.9,10.2,4.3,12.783906459999969,군위군,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,12,15,8,2,11,5,1
5,남구,이천동,2720051500,14245,1.3468825649533362,100.0,매우 높음,1.9186342137760275,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
6,남구,대명2동,2720057100,15229,1.3468825649533362,100.0,매우 높음,2.0511674581674355,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
7,남구,대명3동,2720058600,12166,1.3468825649533362,100.0,매우 높음,1.6386173285222287,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
8,군위군,소보면,2772031000,2221,1.011360564285287,100.0,매우 높음,0.2246231813277622,53,낮음,최대 연속 폭염일,0.014551279493057215,폭염일수(≥33℃),0.0,51.15307657937227,8.8,0.8,5.8,4.5,7.8243432399999815,군위군,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,12,15,8,2,11,5,1
9,군위군,군위읍,2772025000,7901,0.9680246476484735,100.0,매우 높음,0.7648362741070589,53,낮음,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.022871425973824813,51.10850629608932,7.3,0.7,3.7,2.9,7.017414739999981,군위군,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,12,15,8,2,11,5,1
10,중구,동인동,2711051700,10997,0.6669600456187323,71.01955285711496,높음,0.7334559621669199,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
11,중구,삼덕동,2711054500,7460,0.6669600456187323,71.01955285711496,높음,0.49755219403157436,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
12,중구,성내1동,2711056500,5527,0.6669600456187323,71.01955285711496,높음,0.36862881721347335,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
13,중구,성내2동,2711057500,9263,0.6669600456187323,71.01955285711496,높음,0.6178050902566318,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
14,중구,성내3동,2711058500,13643,0.6669600456187323,71.01955285711496,높음,0.9099335902376366,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
15,중구,대신동,2711059500,7249,0.6669600456187323,71.01955285711496,높음,0.483479337069019,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
16,중구,남산1동,2711064000,5062,0.6669600456187323,71.01955285711496,높음,0.3376151750922023,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
17,중구,남산2동,2711065000,7394,0.6669600456187323,71.01955285711496,높음,0.49315025773049076,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
18,중구,남산3동,2711066000,5779,0.6669600456187323,71.01955285711496,높음,0.3854362103630654,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
19,중구,남산4동,2711067000,15842,0.6669600456187323,71.01955285711496,높음,1.0565981042691956,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
20,중구,대봉1동,2711068000,7666,0.6669600456187323,71.01955285711496,높음,0.5112915709713202,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
21,중구,대봉2동,2711069000,5933,0.6669600456187323,71.01955285711496,높음,0.3957073950655939,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
22,군위군,효령면,2772032000,3639,0.6169558148137443,64.85911365405906,높음,0.22451022101072154,53,낮음,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.03924385961558569,48.07197092058806,4.1,0.0,0.5,2.2,2.8443418399999856,군위군,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,12,15,8,2,11,5,1
23,군위군,삼국유사면,2772037000,1330,0.5665815468330198,58.653086477999736,보통,0.07535534572879163,53,낮음,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.05093845507398633,47.557950218976366,3.5,0.0,0.9,1.7,2.0215179199999915,군위군,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,12,15,8,2,11,5,1
24,달성군,현풍읍,2771026500,20887,0.5200966480166486,52.92622320246478,보통,1.0863258687123738,61,중,최고 열지수 대체치,0.730557014857494,최대 연속 폭염일,0.08004101406010075,56.80919614166347,25.4,4.0,19.7,7.3,28.370344079999985,달성군,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
25,달성군,구지면,2771038000,18847,0.5200966480166486,52.92622320246478,보통,0.9802261525169775,61,중,최고 열지수 대체치,0.730557014857494,최대 연속 폭염일,0.08004101406010075,56.80919614166347,25.4,4.0,19.7,7.3,28.370344079999985,달성군,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
26,달성군,화원읍,2771025000,45354,0.5089953459634123,51.5585610012316,보통,2.30849749208246,61,중,최고 열지수 대체치,0.6692196074414734,최대 연속 폭염일,0.1198026386186629,56.38012799644232,25.3,4.5,20.4,9.0,30.93566475999998,달성군,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
27,달성군,옥포읍,2771026200,22138,0.5089953459634123,51.5585610012316,보통,1.1268138968938024,61,중,최고 열지수 대체치,0.6692196074414734,최대 연속 폭염일,0.1198026386186629,56.38012799644232,25.3,4.5,20.4,9.0,30.93566475999998,달성군,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
28,달서구,감삼동,2729055500,31125,0.49549096973384843,49.894844003726604,보통,1.5422156432966032,61,중,최고 열지수 대체치,0.6598927857801714,최대 연속 폭염일,0.13383615316874367,56.31488490516067,25.5,4.5,20.3,9.6,30.768144500000034,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
29,달서구,장기동,2729056800,15347,0.49549096973384843,49.894844003726604,보통,0.7604299912505372,61,중,최고 열지수 대체치,0.6598927857801714,최대 연속 폭염일,0.13383615316874367,56.31488490516067,25.5,4.5,20.3,9.6,30.768144500000034,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
30,달서구,신당동,2729058500,27882,0.49549096973384843,49.894844003726604,보통,1.381527921811916,61,중,최고 열지수 대체치,0.6598927857801714,최대 연속 폭염일,0.13383615316874367,56.31488490516067,25.5,4.5,20.3,9.6,30.768144500000034,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
31,달서구,본리동,2729059000,22993,0.49549096973384843,49.894844003726604,보통,1.1392823867090378,61,중,최고 열지수 대체치,0.6598927857801714,최대 연속 폭염일,0.13383615316874367,56.31488490516067,25.5,4.5,20.3,9.6,30.768144500000034,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
32,달서구,월성1동,2729060100,39423,0.49549096973384843,49.894844003726604,보통,1.953374049981751,61,중,최고 열지수 대체치,0.6598927857801714,최대 연속 폭염일,0.13383615316874367,56.31488490516067,25.5,4.5,20.3,9.6,30.768144500000034,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
33,달서구,월성2동,2729060200,13435,0.49549096973384843,49.894844003726604,보통,0.6656921178374254,61,중,최고 열지수 대체치,0.6598927857801714,최대 연속 폭염일,0.13383615316874367,56.31488490516067,25.5,4.5,20.3,9.6,30.768144500000034,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
34,달서구,진천동,2729061500,49267,0.49549096973384843,49.894844003726604,보통,2.441135360587751,61,중,최고 열지수 대체치,0.6598927857801714,최대 연속 폭염일,0.13383615316874367,56.31488490516067,25.5,4.5,20.3,9.6,30.768144500000034,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
35,달서구,유천동,2729061700,32864,0.49549096973384843,49.894844003726604,보통,1.6283815229333194,61,중,최고 열지수 대체치,0.6598927857801714,최대 연속 폭염일,0.13383615316874367,56.31488490516067,25.5,4.5,20.3,9.6,30.768144500000034,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
36,달서구,상인1동,2729062400,31919,0.49549096973384843,49.894844003726604,보통,1.5815576262934707,61,중,최고 열지수 대체치,0.6598927857801714,최대 연속 폭염일,0.13383615316874367,56.31488490516067,25.5,4.5,20.3,9.6,30.768144500000034,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
37,달서구,상인2동,2729062500,16737,0.49549096973384843,49.894844003726604,보통,0.8293032360435422,61,중,최고 열지수 대체치,0.6598927857801714,최대 연속 폭염일,0.13383615316874367,56.31488490516067,25.5,4.5,20.3,9.6,30.768144500000034,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
38,달서구,송현2동,2729064000,17618,0.49549096973384843,49.894844003726604,보통,0.8729559904770942,61,중,최고 열지수 대체치,0.6598927857801714,최대 연속 폭염일,0.13383615316874367,56.31488490516067,25.5,4.5,20.3,9.6,30.768144500000034,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
39,달서구,본동,2729065000,13148,0.49549096973384843,49.894844003726604,보통,0.6514715270060639,61,중,최고 열지수 대체치,0.6598927857801714,최대 연속 폭염일,0.13383615316874367,56.31488490516067,25.5,4.5,20.3,9.6,30.768144500000034,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
40,남구,봉덕1동,2720053000,7680,0.4713395186786645,46.91942485426938,보통,0.3619887503452143,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
41,남구,봉덕2동,2720054000,12852,0.4713395186786645,46.91942485426938,보통,0.6057655494058196,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
42,남구,봉덕3동,2720055000,14003,0.4713395186786645,46.91942485426938,보통,0.660016728005734,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
43,남구,대명1동,2720056000,9242,0.4713395186786645,46.91942485426938,보통,0.4356119831628218,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
44,남구,대명4동,2720059000,9003,0.4713395186786645,46.91942485426938,보통,0.4243469686664017,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
45,남구,대명5동,2720060000,8896,0.4713395186786645,46.91942485426938,보통,0.4193036358165399,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
46,남구,대명6동,2720061000,10276,0.4713395186786645,46.91942485426938,보통,0.4843484893941957,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
47,남구,대명9동,2720064000,13110,0.4713395186786645,46.91942485426938,보통,0.6179261089877292,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
48,남구,대명10동,2720065000,7805,0.4713395186786645,46.91942485426938,보통,0.3678804943286977,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
49,남구,대명11동,2720066000,7152,0.4713395186786645,46.91942485426938,보통,0.3371020237589809,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
50,달성군,하빈면,2771033000,3104,0.4709619055236255,46.87290353304429,보통,0.14618657547453334,61,중,최고 열지수 대체치,0.6149471360930562,최대 연속 폭염일,0.09641344770186164,56.0004805741101,24.1,3.8,20.9,8.0,28.286613319999987,달성군,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
51,서구,내당1동,2717051000,14683,0.4256557008693077,41.29125344462234,보통,0.6249902655864046,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
52,서구,내당2·3동,2717052500,8091,0.4256557008693077,41.29125344462234,보통,0.34439802757335686,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
53,서구,내당4동,2717054000,14119,0.4256557008693077,41.29125344462234,보통,0.6009832840573756,61,중,최고 열지수 대체치,0.4589357551777546,최대 연속 폭염일,0.084718852243461,54.90914794916392,21.8,3.2,15.2,7.5,23.822066700000022,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
